,optimizer__weight_decay,optimizer__lr,optimizer__eps,optimizer__betas,mean_test_score,std_test_score
0,1e-05,0.001,1e-08,"(0.9, 0.999)",0.9328166666666666,0.0012140382567649587
1,0.001,0.001,1e-08,"(0.99, 0.999)",0.9269833333333333,0.003998402458760532
2,0.0001,0.001,1e-07,"(0.95, 0.999)",0.9265500000000001,0.013616228063111548
3,0.001,0.001,1e-08,"(0.95, 0.999)",0.92505,0.014930003348961458
4,0.001,1e-05,1e-07,"(0.99, 0.999)",0.8154500000000001,0.002265318226357308
5,0.001,0.001,1e-07,"(0.95, 0.999)",0.9263333333333333,0.002533223681837488
6,1e-05,1e-05,1e-06,"(0.99, 0.999)",0.8110833333333334,0.008589366811483949
7,0.0001,1e-05,1e-06,"(0.9, 0.999)",0.8106833333333333,0.006526654749733771
8,0.001,1e-05,1e-06,"(0.99, 0.999)",0.8148333333333334,0.002533881519636532
9,1e-05,0.0001,1e-07,"(0.95, 0.999)",0.8914333333333334,0.009865962812732585
